pid,sawa2,line,offwrist,activity,marker,whitelight,redlight,greenlight,bluelight,wake,interval,starth,day,dayofweek,validday,time
29915385,1,1,0,81,0,4784.5,28,499,324,,ACTIVE,0,0,3,0,10:44:00
29915385,1,2,0,22,1,755.46,54.8,69.5,23.5,,ACTIVE,0,0,3,0,10:44:30
29915385,1,3,0,35,1,736.2,52.4,68,22.5,,ACTIVE,0,0,3,0,10:45:00
29915385,1,4,0,108,1,426.74,33.3,38.7,12.8,,ACTIVE,0,0,3,0,10:45:30
29915385,1,5,0,128,0,36.08,6.14,2.53,0.33,1,ACTIVE,0,0,3,0,10:46:00
29915385,1,6,0,119,0,60.73,7.63,4.84,1.35,1,ACTIVE,0,0,3,0,10:46:30
29915385,1,7,0,133,0,379.19,34,33.3,11.5,1,ACTIVE,0,0,3,0,10:47:00
29915385,1,8,0,96,0,496.68,34,46.1,16.6,1,ACTIVE,0,0,3,0,10:47:30
29915385,1,9,0,133,0,516.98,34.8,48.1,17.4,1,ACTIVE,0,0,3,0,10:48:00
29915385,1,10,0,342,0,328.94,30.5,28.6,10.1,1,ACTIVE,0,0,3,0,10:48:30
29915385,1,11,0,310,0,5.99,0.913,0.447,0.0512,1,ACTIVE,0,0,3,0,10:49:00
29915385,1,12,0,238,0,151.42,6.85,14.9,5.06,1,ACTIVE,0,0,3,0,10:49:30
29915385,1,13,0,215,0,22.9,3.01,1.79,0.555,1,ACTIVE,0,0,3,0,10:50:00
29915385,1,14,0,300,0,9.72,1.57,0.704,0.0773,1,ACTIVE,0,0,3,0,10:50:30
29915385,1,15,0,290,0,0,0,0,0,1,ACTIVE,0,0,3,0,10:51:00
29915385,1,16,0,255,0,16905.7,753,1640,786,1,ACTIVE,0,0,3,0,10:51:30
29915385,1,17,0,272,0,11679.14,488,1140,593,1,ACTIVE,0,0,3,0,10:52:00
29915385,1,18,0,195,0,3096.55,142,297,169,1,ACTIVE,0,0,3,0,10:52:30
29915385,1,19,0,215,0,16019.36,770,1570,499,1,ACTIVE,0,0,3,0,10:53:00
29915385,1,20,0,281,0,36388.39,2650,3430,458,1,ACTIVE,0,0,3,0,10:53:30
29915385,1,21,0,310,0,165821.3,7980,16000,7650,1,ACTIVE,0,0,3,0,10:54:00
29915385,1,22,0,342,0,34189.86,1610,3280,1720,1,ACTIVE,0,0,3,0,10:54:30
29915385,1,23,0,208,0,18065.54,998,1720,770,1,ACTIVE,0,0,3,0,10:55:00
29915385,1,24,0,195,0,22539.89,1110,2180,935,1,ACTIVE,0,0,3,0,10:55:30
29915385,1,25,0,231,0,23674.73,1210,2270,998,1,ACTIVE,0,0,3,0,10:56:00
29915385,1,26,0,195,0,22078.72,1090,2130,935,1,ACTIVE,0,0,3,0,10:56:30
29915385,1,27,0,272,0,20344.16,804,2000,998,1,ACTIVE,0,0,3,0,10:57:00
29915385,1,28,0,365,0,18880.1,858,1830,876,1,ACTIVE,0,0,3,0,10:57:30
29915385,1,29,0,331,0,9311.73,633,858,368,1,ACTIVE,0,0,3,0,10:58:00
29915385,1,30,0,223,0,6018.12,468,544,201,1,ACTIVE,0,0,3,0,10:58:30
29915385,1,31,0,272,0,450.65,63.7,34.8,4.95,1,ACTIVE,0,0,3,0,10:59:00
29915385,1,32,0,342,0,1054.91,59.7,100,39.6,1,ACTIVE,0,0,3,0,10:59:30
29915385,1,33,0,202,0,54.02,3.9,4.95,1.91,1,ACTIVE,0,0,3,0,11:00:00
29915385,1,34,0,300,0,368.56,25.7,34,12.8,1,ACTIVE,0,0,3,0,11:00:30
29915385,1,35,0,153,0,25.83,3.65,1.99,0.29,1,ACTIVE,0,0,3,0,11:01:00
29915385,1,36,0,223,0,1578.37,82.7,152,62.4,1,ACTIVE,0,0,3,0,11:01:30
29915385,1,37,0,74,0,2066.31,139,192,68,1,ACTIVE,0,0,3,0,11:02:00
29915385,1,38,0,133,0,1868.26,107,176,79.2,1,ACTIVE,0,0,3,0,11:02:30
29915385,1,39,0,195,0,1258.55,96.2,114,40.4,1,ACTIVE,0,0,3,0,11:03:00
29915385,1,40,0,158,0,5746.34,353,544,184,1,ACTIVE,0,0,3,0,11:03:30
29915385,1,41,0,51,0,436.08,57.2,34.8,4.84,1,ACTIVE,0,0,3,0,11:04:00
29915385,1,42,0,104,0,715.29,82.7,59.7,8.69,1,ACTIVE,0,0,3,0,11:04:30
29915385,1,43,0,365,0,2361.65,176,214,86.3,1,ACTIVE,0,0,3,0,11:05:00
29915385,1,44,0,238,0,2054.01,110,197,82.7,1,ACTIVE,0,0,3,0,11:05:30
29915385,1,45,0,71,0,2117.95,94.1,205,103,1,ACTIVE,0,0,3,0,11:06:00
29915385,1,46,0,189,0,2744.94,224,244,103,1,ACTIVE,0,0,3,0,11:06:30
29915385,1,47,0,403,0,1773.73,96.2,173,45.1,1,ACTIVE,0,0,3,0,11:07:00
29915385,1,48,0,148,0,1619.71,90.1,155,58.4,1,ACTIVE,0,0,3,0,11:07:30
29915385,1,49,0,66,0,1724.62,82.7,165,86.3,1,ACTIVE,0,0,3,0,11:08:00
29915385,1,50,0,5,0,2051.27,103,197,94.1,1,ACTIVE,0,0,3,0,11:08:30
29915385,1,51,0,46,0,1867,105,176,82.7,1,ACTIVE,0,0,3,0,11:09:00
29915385,1,52,0,24,0,407.73,31.2,37.1,12.8,1,ACTIVE,0,0,3,0,11:09:30
29915385,1,53,0,195,0,1457.88,94.1,136,53.6,1,ACTIVE,0,0,3,0,11:10:00
29915385,1,54,0,6,0,1485.63,79.2,142,61,1,ACTIVE,0,0,3,0,11:10:30
29915385,1,55,0,458,0,3799.47,229,361,125,1,ACTIVE,0,0,3,0,11:11:00
29915385,1,56,0,41,0,2352.25,96.2,229,125,1,ACTIVE,0,0,3,0,11:11:30
29915385,1,57,0,9,0,2780.68,136,266,136,1,ACTIVE,0,0,3,0,11:12:00
29915385,1,58,0,108,0,1485.51,74.2,142,71,1,ACTIVE,0,0,3,0,11:12:30
29915385,1,59,0,158,0,229.61,14.6,21.6,7.63,1,ACTIVE,0,0,3,0,11:13:00
29915385,1,60,0,53,0,1284.6,61,125,52.4,1,ACTIVE,0,0,3,0,11:13:30
29915385,1,61,0,74,0,442.53,46.1,37.1,14.6,1,ACTIVE,0,0,3,0,11:14:00
29915385,1,62,0,25,0,386.66,33.3,34,14,1,ACTIVE,0,0,3,0,11:14:30
29915385,1,63,0,63,0,712.4,45.1,66.6,27.4,1,ACTIVE,0,0,3,0,11:15:00
29915385,1,64,0,1,0,1173.25,48.1,117,39.6,1,ACTIVE,0,0,3,0,11:15:30
29915385,1,65,0,37,0,946.97,51.3,90.1,40.4,1,ACTIVE,0,0,3,0,11:16:00
29915385,1,66,0,89,0,588.54,29.2,57.2,21.1,1,ACTIVE,0,0,3,0,11:16:30
