trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
b124b_00000,0.9570522308349609,0.0,0.6223958134651184,0.2531925439834595,5.034810781478882,True,,,100,af707f21399c403da2742a54a09faf8b,2021-10-11_22-03-21,1633979001,516.5203292369843,42130,crimv3srv041,10.141.0.35,516.5203292369843,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",cnnlstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00001,1.1152853965759277,0.0,0.1865234375,0.0947640985250473,4.387381076812744,True,,,6,2cacc8f91c264e02afd5a110fc4162e6,2021-10-11_22-03-58,1633979038,32.900492906570435,144357,crimv3srv041,10.141.0.35,32.900492906570435,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",cnnlstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00002,1.1317203044891357,0.0,0.1630859375,0.08680989593267441,6.969515085220337,True,,,6,42f5ea7118474157a7aa44db64a526ea,2021-10-11_22-04-48,1633979088,47.71559929847717,150038,crimv3srv041,10.141.0.35,47.71559929847717,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",cnnlstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00003,0.867466926574707,0.33481472730636597,0.6516926884651184,0.48921677470207214,6.850862979888916,True,,,18,0288e10389864b9d97e68eabfa0f51fa,2021-10-11_22-07-00,1633979220,127.69011449813843,157497,crimv3srv041,10.141.0.35,127.69011449813843,0,18,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",cnnlstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00004,0.8371961712837219,0.0,0.6223958134651184,0.2531925439834595,4.629574775695801,True,,,8,353fbc7e9d4b44a0b440b95444ea98a2,2021-10-11_22-07-47,1633979267,43.26649284362793,177890,crimv3srv041,10.141.0.35,43.26649284362793,0,8,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",cnnlstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00005,0.8441028594970703,0.0,0.6223958134651184,0.2531925439834595,4.850567579269409,True,,,7,3d59938d9bb647249fa2e55885a68e45,2021-10-11_22-08-31,1633979311,41.6754846572876,185722,crimv3srv041,10.141.0.35,41.6754846572876,0,7,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",cnnlstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00006,0.8431721329689026,0.0,0.6223958134651184,0.2531925439834595,5.430449962615967,True,,,11,4faebe2546fd4c6a9b531fa4448b9876,2021-10-11_22-09-38,1633979378,63.153122901916504,193905,crimv3srv041,10.141.0.35,63.153122901916504,0,11,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",cnnlstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00007,0.8903008103370667,0.0,0.6223958134651184,0.2531925439834595,4.671298265457153,True,,,11,2ca2b9d401774e47a10bd377e8c7ba07,2021-10-11_22-10-41,1633979441,59.359692335128784,206389,crimv3srv041,10.141.0.35,59.359692335128784,0,11,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",cnnlstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00008,0.8447722792625427,0.0,0.6223958134651184,0.2531925439834595,11.27222490310669,True,,,6,9c70a30586ff46369a1ba9e114efb8b3,2021-10-11_22-12-02,1633979522,77.28880906105042,217461,crimv3srv041,10.141.0.35,77.28880906105042,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",cnnlstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
b124b_00009,0.7017046809196472,0.3618741035461426,0.6783854365348816,0.4975866973400116,6.724607944488525,True,,,25,937a8472943d470c9c2ab25b4464c440,2021-10-11_22-15-13,1633979713,186.85770988464355,224742,crimv3srv041,10.141.0.35,186.85770988464355,0,25,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",cnnlstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,"['sleepEfficiency', 'awakening', 'totalSleepTime', 'combined']"
