trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
698b9_00000,0.5950385928153992,0.0,0.7955729365348816,0.29538312554359436,8.251184225082397,True,,,6,f624bce1c1e84216930cc5e4ac266bee,2021-10-07_18-52-25,1633621945,63.651299476623535,76409,crimv3mgpu016,10.141.0.3,63.651299476623535,0,6,"0_batch_size=256,bidirectional=True,dropout_inner_layers=0.39439,dropout_input_layers=0.051298,hidden_dim=1024,learning_rate=0.00085175,monitor=mcc,num_layers=2,opt_step_size=14,shared_output_size=106,weight_decay=0.00021522",cnnlstm,0.0008517527312394302,256,True,2,1024,mcc,106,14,0.00021522057398608787,0.0512979701832913,0.39438997531662456,['sleepEfficiency']
698b9_00001,0.506267786026001,0.5480039715766907,0.85546875,0.5951733589172363,8.190674066543579,True,,,9,c8ab8d81d0a94657855111bb4fda064e,2021-10-07_18-53-57,1633622037,86.77500319480896,76405,crimv3mgpu016,10.141.0.3,86.77500319480896,0,9,"1_batch_size=32,bidirectional=True,dropout_inner_layers=0.57145,dropout_input_layers=0.33014,hidden_dim=256,learning_rate=0.00087604,monitor=mcc,num_layers=1,opt_step_size=8,shared_output_size=248,weight_decay=2.7751e-05",cnnlstm,0.0008760429239243022,32,True,1,256,mcc,248,8,2.7751326361631316e-05,0.33013682080700235,0.5714500657830627,['sleepEfficiency']
698b9_00002,0.44192513823509216,0.0,0.7955729365348816,0.29538312554359436,7.932622194290161,True,,,6,7938d308ef5b4f60bda205c5866de48f,2021-10-07_18-54-53,1633622093,52.92575764656067,76422,crimv3mgpu016,10.141.0.3,52.92575764656067,0,6,"2_batch_size=256,bidirectional=False,dropout_inner_layers=0.0684,dropout_input_layers=0.53354,hidden_dim=64,learning_rate=0.0027127,monitor=mcc,num_layers=2,opt_step_size=17,shared_output_size=79,weight_decay=0.0022839",cnnlstm,0.002712713691552006,256,False,2,64,mcc,79,17,0.002283942529098006,0.5335408164752902,0.06840009901147803,['sleepEfficiency']
698b9_00003,0.4547404944896698,0.3696853816509247,0.8307291865348816,0.4099409282207489,9.827902555465698,True,,,13,b35e6d10092d424aa0cb986b4bc1f28a,2021-10-07_18-57-02,1633622222,125.91220808029175,76423,crimv3mgpu016,10.141.0.3,125.91220808029175,0,13,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.30391,dropout_input_layers=0.94973,hidden_dim=128,learning_rate=0.0014155,monitor=loss,num_layers=2,opt_step_size=4,shared_output_size=145,weight_decay=0.00064392",cnnlstm,0.0014154779706880216,32,True,2,128,loss,145,4,0.0006439153732199735,0.9497261269408572,0.30391321322013953,['sleepEfficiency']
698b9_00004,0.39897775650024414,0.49866825342178345,0.8424479365348816,0.49482402205467224,7.2271645069122314,True,,,35,ffaf079d9e074cd59587440cb4bfc2ce,2021-10-07_19-01-50,1633622510,284.3932111263275,76418,crimv3mgpu016,10.141.0.3,284.3932111263275,0,35,"4_batch_size=64,bidirectional=False,dropout_inner_layers=0.54206,dropout_input_layers=0.64347,hidden_dim=1024,learning_rate=2.9471e-05,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=35,weight_decay=0.0074071",cnnlstm,2.947094470159114e-05,64,False,1,1024,mcc,35,12,0.0074070523016985705,0.6434694257167055,0.5420631426043777,['sleepEfficiency']
698b9_00005,0.4470304846763611,0.4976847171783447,0.8333333134651184,0.4955061674118042,7.313923358917236,True,,,14,77e709618d6d494385233993647d9769,2021-10-07_19-03-36,1633622616,102.31657099723816,76403,crimv3mgpu016,10.141.0.3,102.31657099723816,0,14,"5_batch_size=128,bidirectional=True,dropout_inner_layers=0.63797,dropout_input_layers=0.57119,hidden_dim=32,learning_rate=0.0014201,monitor=loss,num_layers=2,opt_step_size=16,shared_output_size=249,weight_decay=0.00064794",cnnlstm,0.0014200741055302815,128,True,2,32,loss,249,16,0.000647935204285317,0.5711875606326159,0.637972186226389,['sleepEfficiency']
698b9_00006,0.9370734095573425,0.0,0.7955729365348816,0.29538312554359436,7.395074367523193,True,,,100,4b0ec7f2b4da422fae4265794c30dc28,2021-10-07_19-15-20,1633623320,699.6679878234863,76421,crimv3mgpu016,10.141.0.3,699.6679878234863,0,100,"6_batch_size=128,bidirectional=True,dropout_inner_layers=0.44132,dropout_input_layers=0.28335,hidden_dim=64,learning_rate=1.2254e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=193,weight_decay=0.0061164",cnnlstm,1.225374677739483e-06,128,True,1,64,loss,193,2,0.0061164363205594785,0.28335402525534503,0.44131998571220976,['sleepEfficiency']
698b9_00007,0.5689441561698914,0.0,0.7955729365348816,0.29538312554359436,6.568451404571533,True,,,17,f9907c7ebafa436dae02c23ad00dcf69,2021-10-07_19-17-47,1633623467,142.1100640296936,76406,crimv3mgpu016,10.141.0.3,142.1100640296936,0,17,"7_batch_size=256,bidirectional=True,dropout_inner_layers=0.9519,dropout_input_layers=0.22231,hidden_dim=1024,learning_rate=0.072277,monitor=loss,num_layers=1,opt_step_size=1,shared_output_size=92,weight_decay=0.0046488",cnnlstm,0.07227651236939273,256,True,1,1024,loss,92,1,0.0046488168230986015,0.22231112778240958,0.951899846152459,['sleepEfficiency']
698b9_00008,1.25212824344635,0.0,0.01822916604578495,0.011935208924114704,6.997116565704346,True,,,6,cdeb0ff60dc642269ea593ad5c342744,2021-10-07_19-18-43,1633623523,52.68015456199646,76402,crimv3mgpu016,10.141.0.3,52.68015456199646,0,6,"8_batch_size=128,bidirectional=False,dropout_inner_layers=0.59307,dropout_input_layers=0.82872,hidden_dim=512,learning_rate=1.021e-06,monitor=mcc,num_layers=2,opt_step_size=3,shared_output_size=116,weight_decay=0.0011972",cnnlstm,1.021006075998316e-06,128,False,2,512,mcc,116,3,0.0011972397276785805,0.8287159043770274,0.593069121684937,['sleepEfficiency']
698b9_00009,0.5584174394607544,0.5088273882865906,0.82421875,0.4979548454284668,7.475997447967529,True,,,16,bde1dfbefb15482f8e76a043e8a83605,2021-10-07_19-21-09,1633623669,142.9040403366089,76417,crimv3mgpu016,10.141.0.3,142.9040403366089,0,16,"9_batch_size=64,bidirectional=False,dropout_inner_layers=0.53277,dropout_input_layers=0.30699,hidden_dim=1024,learning_rate=0.0055307,monitor=mcc,num_layers=1,opt_step_size=8,shared_output_size=244,weight_decay=0.0044844",cnnlstm,0.005530746737492084,64,False,1,1024,mcc,244,8,0.004484388600425845,0.30699084686689726,0.5327732069371572,['sleepEfficiency']
