trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
698ad_00000,0.7423570156097412,0.2869245111942291,0.6901041865348816,0.4291086792945862,5.18109655380249,True,,,22,8c6fa55df13441a388fb921e23bade91,2021-10-07_18-53-19,1633621999,117.88291454315186,18774,crimv3mgpu003,10.141.0.1,117.88291454315186,0,22,"0_batch_size=64,bidirectional=False,dropout_inner_layers=0.68378,dropout_input_layers=0.41638,hidden_dim=32,learning_rate=0.0082474,monitor=mcc,num_layers=2,opt_step_size=17,shared_output_size=169,weight_decay=0.00011027",lstm,0.008247403555876444,64,False,2,32,mcc,169,17,0.00011026567090323168,0.416379989951991,0.6837784324415783,['awakening']
698ad_00001,0.9737262725830078,0.26733100414276123,0.6666666865348816,0.4755716919898987,4.628505229949951,True,,,10,d6726d0b72d444cc8d2ac2431c8532b2,2021-10-07_18-54-17,1633622057,53.0183002948761,18767,crimv3mgpu003,10.141.0.1,53.0183002948761,0,10,"1_batch_size=128,bidirectional=True,dropout_inner_layers=0.3781,dropout_input_layers=0.57137,hidden_dim=32,learning_rate=0.0031248,monitor=mcc,num_layers=2,opt_step_size=8,shared_output_size=198,weight_decay=5.4569e-05",lstm,0.0031247873331149804,128,True,2,32,mcc,198,8,5.456850784822133e-05,0.5713678141021427,0.37809936275819556,['awakening']
698ad_00002,1.0002028942108154,0.0,0.671875,0.26791277527809143,6.820440053939819,True,,,6,b5ad8a1050cb40bd993d08a1a0d33b31,2021-10-07_18-55-08,1633622108,48.086249351501465,18747,crimv3mgpu003,10.141.0.1,48.086249351501465,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.19887,dropout_input_layers=0.97603,hidden_dim=512,learning_rate=0.0042427,monitor=loss,num_layers=2,opt_step_size=2,shared_output_size=99,weight_decay=1.6952e-05",lstm,0.004242696638418338,32,True,2,512,loss,99,2,1.6952297857148498e-05,0.9760301613362955,0.19886810063033566,['awakening']
698ad_00003,0.7942941784858704,0.0,0.671875,0.26791277527809143,4.894382476806641,True,,,11,28cbae5b5bfe41a8ba9f3855cecc104b,2021-10-07_18-56-13,1633622173,61.45392036437988,18762,crimv3mgpu003,10.141.0.1,61.45392036437988,0,11,"3_batch_size=64,bidirectional=True,dropout_inner_layers=0.60434,dropout_input_layers=0.34787,hidden_dim=256,learning_rate=0.024082,monitor=mcc,num_layers=1,opt_step_size=4,shared_output_size=89,weight_decay=0.0031666",lstm,0.024081953690565844,64,True,1,256,mcc,89,4,0.003166579198684851,0.3478694605668261,0.6043444252056982,['awakening']
698ad_00004,0.7435855865478516,0.2390761822462082,0.6692708134651184,0.37730491161346436,4.710705041885376,True,,,63,300815328d514a7795217a66c75c7dff,2021-10-07_19-03-50,1633622630,452.9825873374939,18745,crimv3mgpu003,10.141.0.1,452.9825873374939,0,63,"4_batch_size=256,bidirectional=True,dropout_inner_layers=0.45809,dropout_input_layers=0.44697,hidden_dim=1024,learning_rate=7.0471e-06,monitor=loss,num_layers=1,opt_step_size=15,shared_output_size=127,weight_decay=3.3308e-05",lstm,7.047123220309111e-06,256,True,1,1024,loss,127,15,3.330759445098158e-05,0.44697464097968,0.4580933221861494,['awakening']
698ad_00005,0.731462299823761,0.0,0.671875,0.26791277527809143,4.4810285568237305,True,,,6,f7030effd68640cea817c36389b9143e,2021-10-07_19-04-27,1633622667,32.3437283039093,18723,crimv3mgpu003,10.141.0.1,32.3437283039093,0,6,"5_batch_size=128,bidirectional=False,dropout_inner_layers=0.92314,dropout_input_layers=0.0046371,hidden_dim=256,learning_rate=0.0005259,monitor=mcc,num_layers=2,opt_step_size=9,shared_output_size=23,weight_decay=9.3516e-05",lstm,0.000525901766499531,128,False,2,256,mcc,23,9,9.351590252200788e-05,0.004637145744129323,0.9231448982678062,['awakening']
698ad_00006,1.0764590501785278,0.32011985778808594,0.6809895634651184,0.5196415781974792,4.747585773468018,True,,,8,ead22eda6519401894348379eac7ab4d,2021-10-07_19-05-16,1633622716,46.6608350276947,18729,crimv3mgpu003,10.141.0.1,46.6608350276947,0,8,"6_batch_size=64,bidirectional=False,dropout_inner_layers=0.20101,dropout_input_layers=0.48157,hidden_dim=256,learning_rate=0.00039544,monitor=loss,num_layers=2,opt_step_size=16,shared_output_size=161,weight_decay=0.0031347",lstm,0.00039543532540033837,64,False,2,256,loss,161,16,0.0031346594623599417,0.4815682890521804,0.2010057711826465,['awakening']
698ad_00007,0.8308632969856262,0.0,0.671875,0.26791277527809143,4.536341428756714,True,,,100,dc91ce47ebfb4784909853d68e52f38d,2021-10-07_19-13-47,1633623227,507.5609276294708,18735,crimv3mgpu003,10.141.0.1,507.5609276294708,0,100,"7_batch_size=128,bidirectional=True,dropout_inner_layers=0.30705,dropout_input_layers=0.18508,hidden_dim=128,learning_rate=6.5079e-06,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=50,weight_decay=0.0035003",lstm,6.507904913927504e-06,128,True,2,128,loss,50,15,0.0035002746920718216,0.18508012801059637,0.3070458248701815,['awakening']
698ad_00008,1.1949824094772339,0.0,0.1354166716337204,0.07951070368289948,4.4270148277282715,True,,,6,9f4d9c50ef054e5f8dd63a28198ca86e,2021-10-07_19-14-23,1633623263,32.33866763114929,18758,crimv3mgpu003,10.141.0.1,32.33866763114929,0,6,"8_batch_size=256,bidirectional=False,dropout_inner_layers=0.54935,dropout_input_layers=0.614,hidden_dim=32,learning_rate=5.2159e-06,monitor=mcc,num_layers=2,opt_step_size=18,shared_output_size=171,weight_decay=0.00034404",lstm,5.215868107661162e-06,256,False,2,32,mcc,171,18,0.00034404323091653577,0.6140035719279391,0.5493523272922908,['awakening']
698ad_00009,0.7215476036071777,0.3530619144439697,0.7161458134651184,0.46336081624031067,4.429007053375244,True,,,100,a16e20d364d5464cb88bef7ac5fe4785,2021-10-07_19-22-39,1633623759,492.67742705345154,18751,crimv3mgpu003,10.141.0.1,492.67742705345154,0,100,"9_batch_size=256,bidirectional=False,dropout_inner_layers=0.42413,dropout_input_layers=0.58745,hidden_dim=512,learning_rate=1.1359e-05,monitor=loss,num_layers=1,opt_step_size=19,shared_output_size=81,weight_decay=0.0035337",lstm,1.1359340489822312e-05,256,False,1,512,loss,81,19,0.0035337432008516866,0.5874509643073508,0.42413433861442384,['awakening']
