trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
5e8cc_00000,0.9586561322212219,0.008208301849663258,0.265625,0.1453768014907837,5.2339794635772705,True,,,100,bc7ed4bcfd30439da7bcff12ce6d0240,2021-10-12_05-25-12,1634005512,537.4011378288269,89975,crimv3srv042,10.141.0.36,537.4011378288269,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",lstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['sleepEfficiency']
5e8cc_00001,1.0383840799331665,0.0,0.6919642686843872,0.27264732122421265,4.924692869186401,True,,,6,33fc4f0631c34673a67ca845a199472d,2021-10-12_05-25-51,1634005551,34.832021713256836,249744,crimv3srv042,10.141.0.36,34.832021713256836,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",lstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['sleepEfficiency']
5e8cc_00002,1.1627956628799438,0.0,0.0491071417927742,0.03120567463338375,6.586868047714233,True,,,6,8a9ddb586f094117bb5f28e9dc3554ab,2021-10-12_05-26-39,1634005599,45.718546628952026,260498,crimv3srv042,10.141.0.36,45.718546628952026,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",lstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['sleepEfficiency']
5e8cc_00003,0.9646335244178772,0.5049785375595093,0.7756696343421936,0.6355946660041809,6.280334234237671,True,,,12,8415fd629db94b0ab3be886709cb7ea9,2021-10-12_05-28-02,1634005682,81.1890881061554,272109,crimv3srv042,10.141.0.36,81.1890881061554,0,12,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",lstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['sleepEfficiency']
5e8cc_00004,0.7539600133895874,0.0,0.6919642686843872,0.27264732122421265,4.761841058731079,True,,,9,34b76655ded84f98b4ab509bc9cb2af3,2021-10-12_05-28-56,1634005736,50.64213943481445,293611,crimv3srv042,10.141.0.36,50.64213943481445,0,9,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",lstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['sleepEfficiency']
5e8cc_00005,0.7603879570960999,0.0,0.6919642686843872,0.27264732122421265,5.261337041854858,True,,,8,84945d8fcf2741308701e0cf235c9418,2021-10-12_05-29-47,1634005787,48.063663959503174,308345,crimv3srv042,10.141.0.36,48.063663959503174,0,8,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",lstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['sleepEfficiency']
5e8cc_00006,0.5329052805900574,0.4524821937084198,0.7622767686843872,0.47756168246269226,5.578597068786621,True,,,7,6bfddeffe7a5478da4c969bab53abd37,2021-10-12_05-30-32,1634005832,42.156959533691406,322350,crimv3srv042,10.141.0.36,42.156959533691406,0,7,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",lstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['sleepEfficiency']
5e8cc_00007,0.9266530871391296,0.0,0.6822916865348816,0.2703818380832672,5.124553203582764,True,,,9,aaac3e6d12ee422aa174123e0dfa2f4b,2021-10-12_05-31-29,1634005889,52.485469579696655,335340,crimv3srv042,10.141.0.36,52.485469579696655,0,9,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",lstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['sleepEfficiency']
5e8cc_00008,0.7550023198127747,0.0,0.6919642686843872,0.27264732122421265,12.1173996925354,True,,,6,d7125b0ecad04c11b8f0605f0721d911,2021-10-12_05-32-53,1634005973,81.6494791507721,350691,crimv3srv042,10.141.0.36,81.6494791507721,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",lstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['sleepEfficiency']
5e8cc_00009,0.50107342004776,0.514431893825531,0.7957589030265808,0.6682851314544678,6.645155429840088,True,,,11,77cb4020681046c2933b57a2faf85e48,2021-10-12_05-34-15,1634006055,79.37031722068787,367330,crimv3srv042,10.141.0.36,79.37031722068787,0,11,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",lstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['sleepEfficiency']
