trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
a41aa_00000,1.033772349357605,0.0,0.44921875,0.20664869248867035,4.768502712249756,True,,,100,8a74fda5224a4bbba72324dc2d3d2a65,2021-10-11_19-31-55,1633969915,471.27825808525085,159171,crimv3mgpu003,10.141.0.1,471.27825808525085,0,100,"0_batch_size=64,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,learning_rate=1.1269e-06,monitor=loss,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",mpl,1.1268620922535336e-06,64,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['totalSleepTime']
a41aa_00001,1.102060079574585,-0.04701995477080345,0.1927083283662796,0.10806863754987717,5.448104381561279,True,,,6,ef9fdba7b6974f81856cd1b9fa22f8e8,2021-10-11_19-32-36,1633969956,37.40979194641113,96615,crimv3mgpu003,10.141.0.1,37.40979194641113,0,6,"1_batch_size=32,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,learning_rate=2.6321e-06,monitor=mcc,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",mpl,2.6320749736273015e-06,32,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['totalSleepTime']
a41aa_00002,1.148077368736267,0.0,0.1953125,0.10893246531486511,5.2604899406433105,True,,,6,fccfb833e0194fdb900069a5a4b58d0b,2021-10-11_19-33-16,1633969996,37.37697744369507,108642,crimv3mgpu003,10.141.0.1,37.37697744369507,0,6,"2_batch_size=32,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,learning_rate=1.5622e-06,monitor=mcc,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",mpl,1.5622188693842582e-06,32,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['totalSleepTime']
a41aa_00003,0.9540539979934692,0.3668522536754608,0.59765625,0.6006013751029968,4.291182994842529,True,,,9,cf7229d41c2e4608af5d09e41e7b2f43,2021-10-11_19-34-05,1633970045,44.251193046569824,119741,crimv3mgpu003,10.141.0.1,44.251193046569824,0,9,"3_batch_size=256,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,learning_rate=0.0032519,monitor=loss,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",mpl,0.0032518995380974173,256,loss,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['totalSleepTime']
a41aa_00004,1.0461804866790771,0.0,0.44921875,0.20664869248867035,4.329725980758667,True,,,6,67b2f0c66a4241d1ae0f39cc4834551f,2021-10-11_19-34-39,1633970079,31.048938989639282,135634,crimv3mgpu003,10.141.0.1,31.048938989639282,0,6,"4_batch_size=128,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,learning_rate=0.050422,monitor=mcc,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",mpl,0.050422229829618456,128,mcc,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['totalSleepTime']
a41aa_00005,1.051277995109558,0.0,0.44921875,0.20664869248867035,5.562053203582764,True,,,6,7f2ac1643dac4d1cad44879f4e2d7d64,2021-10-11_19-35-20,1633970120,37.84023857116699,145461,crimv3mgpu003,10.141.0.1,37.84023857116699,0,6,"5_batch_size=32,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,learning_rate=0.053406,monitor=loss,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",mpl,0.053405635200435675,32,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['totalSleepTime']
a41aa_00006,1.0475374460220337,0.0,0.44921875,0.20664869248867035,4.402018308639526,True,,,12,3e87b7bcb1f840f08588307216138426,2021-10-11_19-36-22,1633970182,58.026686906814575,157957,crimv3mgpu003,10.141.0.1,58.026686906814575,0,12,"6_batch_size=128,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,learning_rate=0.023281,monitor=loss,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",mpl,0.023281138555331107,128,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['totalSleepTime']
a41aa_00007,1.0467017889022827,0.0,0.44921875,0.20664869248867035,4.389750957489014,True,,,19,f235cf6c3da64630be4e1107d0c0fded,2021-10-11_19-37-55,1633970275,89.34452319145203,177736,crimv3mgpu003,10.141.0.1,89.34452319145203,0,19,"7_batch_size=128,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,learning_rate=0.001129,monitor=loss,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",mpl,0.0011289863841006823,128,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['totalSleepTime']
a41aa_00008,1.046998143196106,0.0,0.44921875,0.20664869248867035,5.679299831390381,True,,,7,23fc8e2ddf6b4f22a2a8aa08b2e1a6c4,2021-10-11_19-38-42,1633970322,43.71942138671875,9055,crimv3mgpu003,10.141.0.1,43.71942138671875,0,7,"8_batch_size=32,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,learning_rate=0.044534,monitor=loss,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",mpl,0.04453377053069205,32,loss,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['totalSleepTime']
a41aa_00009,2.2447240352630615,0.3572228252887726,0.6002604365348816,0.5986104607582092,4.460297107696533,True,,,21,f9925e37c4e043e098a529a3a6bb5a9c,2021-10-11_19-40-22,1633970422,96.86353135108948,21437,crimv3mgpu003,10.141.0.1,96.86353135108948,0,21,"9_batch_size=128,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,learning_rate=0.0015498,monitor=mcc,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",mpl,0.0015497795417655797,128,mcc,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['totalSleepTime']
a41aa_00010,1.099306344985962,0.0,0.44921875,0.20664869248867035,4.346878290176392,True,,,8,13e10416108840978afffd72d14171ac,2021-10-11_19-41-06,1633970466,40.02890634536743,49955,crimv3mgpu003,10.141.0.1,40.02890634536743,0,8,"10_batch_size=128,dropout_inner_layers=0.87012,dropout_input_layers=0.63557,learning_rate=7.7144e-06,monitor=mcc,opt_step_size=3,shared_output_size=226,weight_decay=1.6228e-05",mpl,7.714392944253698e-06,128,mcc,226,3,1.6227688920677303e-05,0.635572831962246,0.8701190031896262,['totalSleepTime']
a41aa_00011,0.9046483635902405,0.3617633581161499,0.5872395634651184,0.5857353210449219,4.792019605636597,True,,,19,f9fa9e774d53418585960dbd17f79813,2021-10-11_19-42-43,1633970563,94.60124254226685,60026,crimv3mgpu003,10.141.0.1,94.60124254226685,0,19,"11_batch_size=64,dropout_inner_layers=0.37512,dropout_input_layers=0.022867,learning_rate=5.9052e-05,monitor=mcc,opt_step_size=1,shared_output_size=201,weight_decay=0.0053509",mpl,5.9051664422223445e-05,64,mcc,201,1,0.0053509220915861485,0.022866949969676864,0.3751227624957739,['totalSleepTime']
a41aa_00012,0.8945709466934204,0.2477104365825653,0.5455729365348816,0.4405878484249115,5.47979211807251,True,,,66,bb3c7019bc3a4dfd9f07e716f04cf900,2021-10-11_19-48-58,1633970938,371.9723780155182,83901,crimv3mgpu003,10.141.0.1,371.9723780155182,0,66,"12_batch_size=32,dropout_inner_layers=0.41435,dropout_input_layers=0.49814,learning_rate=9.9579e-06,monitor=loss,opt_step_size=2,shared_output_size=120,weight_decay=0.00021495",mpl,9.957874378938733e-06,32,loss,120,2,0.0002149497206948265,0.49813961036179266,0.41434632479962163,['totalSleepTime']
a41aa_00013,1.0628389120101929,0.0,0.44921875,0.20664869248867035,4.368288993835449,True,,,12,c07f257435294449bc6622e66a44b9e6,2021-10-11_19-50-00,1633971000,57.33198547363281,172408,crimv3mgpu003,10.141.0.1,57.33198547363281,0,12,"13_batch_size=128,dropout_inner_layers=0.83635,dropout_input_layers=0.51951,learning_rate=1.1784e-05,monitor=mcc,opt_step_size=17,shared_output_size=87,weight_decay=0.00035797",mpl,1.1783649454303449e-05,128,mcc,87,17,0.0003579654474243257,0.5195139615528149,0.8363517261619613,['totalSleepTime']
a41aa_00014,1.0573484897613525,0.08248256891965866,0.4557291567325592,0.23283153772354126,4.654693603515625,True,,,100,b099a7efeebc445fad5d5e7c4172c589,2021-10-11_19-58-00,1633971480,476.18884015083313,187914,crimv3mgpu003,10.141.0.1,476.18884015083313,0,100,"14_batch_size=64,dropout_inner_layers=0.14679,dropout_input_layers=0.13493,learning_rate=1.0983e-06,monitor=loss,opt_step_size=13,shared_output_size=104,weight_decay=0.00052963",mpl,1.098310725843565e-06,64,loss,104,13,0.0005296331369759431,0.1349277444379824,0.14678823181091394,['totalSleepTime']
a41aa_00015,1.0650826692581177,0.0,0.44921875,0.20664869248867035,4.785325288772583,True,,,100,f47e0608840b40bf999863f1fc9e890b,2021-10-11_20-06-01,1633971961,476.4950704574585,114643,crimv3mgpu003,10.141.0.1,476.4950704574585,0,100,"15_batch_size=64,dropout_inner_layers=0.78792,dropout_input_layers=0.56825,learning_rate=1.8699e-06,monitor=loss,opt_step_size=4,shared_output_size=245,weight_decay=0.0014112",mpl,1.8698952046608086e-06,64,loss,245,4,0.0014112337678149004,0.5682485862311178,0.7879243948259242,['totalSleepTime']
a41aa_00016,1.046161413192749,0.0,0.44921875,0.20664869248867035,4.6257710456848145,True,,,6,fb66e7e6e75f4b74958f0e665a149eff,2021-10-11_20-06-38,1633971998,32.64113187789917,41464,crimv3mgpu003,10.141.0.1,32.64113187789917,0,6,"16_batch_size=64,dropout_inner_layers=0.14924,dropout_input_layers=0.69998,learning_rate=0.091112,monitor=mcc,opt_step_size=8,shared_output_size=211,weight_decay=6.9874e-05",mpl,0.09111245566046482,64,mcc,211,8,6.987355529418901e-05,0.6999808958962674,0.14923920953342074,['totalSleepTime']
