trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
8fe76_00000,1.0219348669052124,0.0,0.4720982015132904,0.21379832923412323,5.903940439224243,True,,,100,8bfa0c5ce4e64c85b9b662f4c9d50cd9,2021-10-15_23-02-48,1634328168,557.2837955951691,422155,crimv3mgpu022,10.141.0.28,557.2837955951691,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",cnnlstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['combined']
8fe76_00001,1.072092890739441,0.0,0.3716517984867096,0.18063466250896454,3.678300142288208,True,,,6,a031377f27c545b5ba72c5bc6b64837d,2021-10-15_23-03-21,1634328201,26.939192056655884,47831,crimv3mgpu022,10.141.0.28,26.939192056655884,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",cnnlstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['combined']
8fe76_00002,1.1126015186309814,0.0,0.3716517984867096,0.18063466250896454,10.416083574295044,True,,,6,5e03b0717bb24cde887915caa55d5198,2021-10-15_23-04-27,1634328267,63.215763568878174,53176,crimv3mgpu022,10.141.0.28,63.215763568878174,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",cnnlstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['combined']
8fe76_00003,0.8161124587059021,0.3426942229270935,0.6026785969734192,0.5014647841453552,8.658406257629395,True,,,11,c818eaabd16745b29b184409896ea334,2021-10-15_23-06-17,1634328377,105.0533082485199,58612,crimv3mgpu022,10.141.0.28,105.0533082485199,0,11,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",cnnlstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['combined']
8fe76_00004,1.0187824964523315,0.0,0.3716517984867096,0.18063466250896454,3.6479058265686035,True,,,12,4b2dc0f390b34749b881affe887cc88b,2021-10-15_23-07-10,1634328430,48.37616491317749,68303,crimv3mgpu022,10.141.0.28,48.37616491317749,0,12,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",cnnlstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['combined']
8fe76_00005,1.0141088962554932,0.0,0.4720982015132904,0.21379832923412323,5.774804592132568,True,,,6,2b588833a49e47f98d9f60876ed2bfbf,2021-10-15_23-07-51,1634328471,38.29650855064392,78621,crimv3mgpu022,10.141.0.28,38.29650855064392,0,6,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",cnnlstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['combined']
8fe76_00006,1.015524983406067,0.0,0.4720982015132904,0.21379832923412323,5.402247190475464,True,,,6,28aa049eacde45128710185b286fa714,2021-10-15_23-08-35,1634328515,39.0056037902832,83989,crimv3mgpu022,10.141.0.28,39.0056037902832,0,6,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",cnnlstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['combined']
8fe76_00007,1.0807017087936401,0.0,0.4661458432674408,0.21195973455905914,3.0093820095062256,True,,,16,fa4956b2b3434ce28c68f3f6eef6ea7c,2021-10-15_23-09-32,1634328572,54.67388844490051,89406,crimv3mgpu022,10.141.0.28,54.67388844490051,0,16,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",cnnlstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['combined']
8fe76_00008,1.0163424015045166,0.0,0.4720982015132904,0.21379832923412323,8.806743144989014,True,,,6,bff8d3a5e4634bed90187f7871eec319,2021-10-15_23-10-38,1634328638,61.05909872055054,102853,crimv3mgpu022,10.141.0.28,61.05909872055054,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",cnnlstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['combined']
8fe76_00009,1.0934423208236694,0.4625908434391022,0.6785714030265808,0.6069785952568054,9.710824966430664,True,,,11,a96343be10b7472cb8a06514d32c9e4d,2021-10-15_23-12-31,1634328751,108.77639079093933,108432,crimv3mgpu022,10.141.0.28,108.77639079093933,0,11,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",cnnlstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['combined']
