trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
8ecea_00000,1.0966424942016602,0.0,0.390625,0.18726591765880585,7.042176961898804,True,,,100,d63f21811cf5443c8e7ee78109b0efcb,2021-10-10_22-57-42,1633895862,757.2488102912903,311141,crimv3srv047,10.141.0.37,757.2488102912903,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",cnnlstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['totalSleepTime']
8ecea_00001,1.1009743213653564,0.0,0.3046875,0.15568862855434418,5.391561031341553,True,,,6,b1ab4794c47044e1b07702171131f0af,2021-10-10_22-58-24,1633895904,38.29379653930664,20004,crimv3srv047,10.141.0.37,38.29379653930664,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",cnnlstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['totalSleepTime']
8ecea_00002,1.1170200109481812,0.0,0.3046875,0.15568862855434418,10.418265581130981,True,,,6,e0b0ab2b49b54afe8ddd8091aac850ee,2021-10-10_22-59-47,1633895987,79.91930055618286,29299,crimv3srv047,10.141.0.37,79.91930055618286,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",cnnlstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['totalSleepTime']
8ecea_00003,0.7368985414505005,0.5157773494720459,0.6796875,0.6741129159927368,10.072021245956421,True,,,8,3beea66e99404fb0a2d570c1f61c944c,2021-10-10_23-01-25,1633896085,94.16963243484497,42139,crimv3srv047,10.141.0.37,94.16963243484497,0,8,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",cnnlstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['totalSleepTime']
8ecea_00004,1.100541353225708,0.0,0.390625,0.18726591765880585,6.605962753295898,True,,,15,4d1bc3aab322408ca008ac457ac68e79,2021-10-10_23-03-02,1633896182,93.59623098373413,57980,crimv3srv047,10.141.0.37,93.59623098373413,0,15,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",cnnlstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['totalSleepTime']
8ecea_00005,1.0924235582351685,0.0,0.390625,0.18726591765880585,7.622800588607788,True,,,7,163be030592146c687a0ea85f6ba68fa,2021-10-10_23-04-09,1633896249,61.99348306655884,79403,crimv3srv047,10.141.0.37,61.99348306655884,0,7,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",cnnlstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['totalSleepTime']
8ecea_00006,1.092840552330017,0.0,0.390625,0.18726591765880585,8.279796361923218,True,,,8,da2cc429976a4fedb421f7d7a29da99e,2021-10-10_23-05-16,1633896316,63.68212032318115,91657,crimv3srv047,10.141.0.37,63.68212032318115,0,8,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",cnnlstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['totalSleepTime']
8ecea_00007,1.0908445119857788,0.0,0.3815104067325592,0.18410304188728333,5.5910398960113525,True,,,25,a98d5f9e532e4ed69a56f1f8fc0ae427,2021-10-10_23-07-58,1633896478,156.80142545700073,105057,crimv3srv047,10.141.0.37,156.80142545700073,0,25,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",cnnlstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['totalSleepTime']
8ecea_00008,1.1039280891418457,0.0,0.390625,0.18726591765880585,12.130646228790283,True,,,6,d4b12fd07ad34522b8b17255bbeaed4b,2021-10-10_23-09-13,1633896553,71.81956124305725,143818,crimv3srv047,10.141.0.37,71.81956124305725,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",cnnlstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['totalSleepTime']
8ecea_00009,1.1126747131347656,0.47551921010017395,0.6540178656578064,0.6465112566947937,12.757667779922485,True,,,10,66ed887a09914a61bdac448e3f7a2bba,2021-10-10_23-11-18,1633896678,121.17131662368774,160299,crimv3srv047,10.141.0.37,121.17131662368774,0,10,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",cnnlstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['totalSleepTime']
8ecea_00010,1.0969716310501099,0.0,0.390625,0.18726591765880585,10.808099269866943,True,,,100,24dc962ff7ac41d7acbdb160784f7fcd,2021-10-10_23-30-21,1633897821,1138.0059566497803,183192,crimv3srv047,10.141.0.37,1138.0059566497803,0,100,"10_batch_size=32,bidirectional=False,dropout_inner_layers=0.87012,dropout_input_layers=0.63557,hidden_dim=1024,learning_rate=7.7144e-06,monitor=loss,num_layers=1,opt_step_size=3,shared_output_size=226,weight_decay=1.6228e-05",cnnlstm,7.714392944253698e-06,32,False,1,1024,loss,226,3,1.6227688920677303e-05,0.635572831962246,0.8701190031896262,['totalSleepTime']
8ecea_00011,0.7200621962547302,0.5140436887741089,0.6770833134651184,0.6622769832611084,5.024860382080078,True,,,44,ee18c1adf2e34b4ba18603bd8eb485f4,2021-10-10_23-34-30,1633898070,245.26655960083008,418687,crimv3srv047,10.141.0.37,245.26655960083008,0,44,"11_batch_size=256,bidirectional=True,dropout_inner_layers=0.37512,dropout_input_layers=0.022867,hidden_dim=128,learning_rate=5.9052e-05,monitor=loss,num_layers=1,opt_step_size=1,shared_output_size=201,weight_decay=0.0053509",cnnlstm,5.9051664422223445e-05,256,True,1,128,loss,201,1,0.0053509220915861485,0.022866949969676864,0.3751227624957739,['totalSleepTime']
8ecea_00012,0.8714885115623474,0.40538525581359863,0.6015625,0.5496477484703064,7.273560523986816,True,,,100,9c4ca359eb154190b41509d4a8e47278,2021-10-10_23-45-14,1633898714,640.8517489433289,26002,crimv3srv047,10.141.0.37,640.8517489433289,0,100,"12_batch_size=128,bidirectional=True,dropout_inner_layers=0.41435,dropout_input_layers=0.49814,hidden_dim=32,learning_rate=9.9579e-06,monitor=loss,num_layers=2,opt_step_size=2,shared_output_size=120,weight_decay=0.00021495",cnnlstm,9.957874378938733e-06,128,True,2,32,loss,120,2,0.0002149497206948265,0.49813961036179266,0.41434632479962163,['totalSleepTime']
8ecea_00013,1.1059117317199707,0.0,0.390625,0.18726591765880585,5.876135587692261,True,,,6,f5ad66fed2f64eb291c26f6a7f901f6e,2021-10-10_23-46-03,1633898763,45.65586447715759,197245,crimv3srv047,10.141.0.37,45.65586447715759,0,6,"13_batch_size=128,bidirectional=False,dropout_inner_layers=0.83635,dropout_input_layers=0.51951,hidden_dim=512,learning_rate=1.1784e-05,monitor=mcc,num_layers=1,opt_step_size=17,shared_output_size=87,weight_decay=0.00035797",cnnlstm,1.1783649454303449e-05,128,False,1,512,mcc,87,17,0.0003579654474243257,0.5195139615528149,0.8363517261619613,['totalSleepTime']
8ecea_00014,1.1020337343215942,0.0,0.3072916567325592,0.15670651197433472,5.675124645233154,True,,,100,99b44e5dbd4a46c0ba53f55b15f05b2f,2021-10-10_23-55-31,1633899331,564.8579666614532,208292,crimv3srv047,10.141.0.37,564.8579666614532,0,100,"14_batch_size=256,bidirectional=True,dropout_inner_layers=0.14679,dropout_input_layers=0.13493,hidden_dim=32,learning_rate=1.0983e-06,monitor=loss,num_layers=2,opt_step_size=13,shared_output_size=104,weight_decay=0.00052963",cnnlstm,1.098310725843565e-06,256,True,2,32,loss,104,13,0.0005296331369759431,0.1349277444379824,0.14678823181091394,['totalSleepTime']
