trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
caa7f_00000,1.0302224159240723,0.0,0.578125,0.2442244291305542,6.669343709945679,True,,,100,c07ebbab639d4b4daaf1b90179268b3e,2021-10-08_20-22-47,1633713767,669.3610944747925,437615,crimv3srv047,10.141.0.37,669.3610944747925,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",lstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['awakening']
caa7f_00001,1.1579686403274536,0.0,0.1316964328289032,0.0775805413722992,5.482036113739014,True,,,6,a6994098d08a4f669ddc4d5d30bd291b,2021-10-08_20-23-30,1633713810,38.059550046920776,159982,crimv3srv047,10.141.0.37,38.059550046920776,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",lstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['awakening']
caa7f_00002,1.128088355064392,0.0,0.1316964328289032,0.0775805413722992,9.244684219360352,True,,,6,ef5fdcee80c243e987d0ffb5d8512adb,2021-10-08_20-24-33,1633713873,60.578099489212036,169498,crimv3srv047,10.141.0.37,60.578099489212036,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",lstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['awakening']
caa7f_00003,1.3256042003631592,0.1879095733165741,0.5178571343421936,0.406796395778656,8.993321180343628,True,,,11,b14b014fd0d440949ce3938ca915af89,2021-10-08_20-26-23,1633713983,105.62526416778564,180979,crimv3srv047,10.141.0.37,105.62526416778564,0,11,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",lstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['awakening']
caa7f_00004,0.9436920881271362,0.0,0.578125,0.2442244291305542,5.349161863327026,True,,,10,b066582916c548048c9b058ee9b6e4f8,2021-10-08_20-27-27,1633714047,59.918317556381226,201770,crimv3srv047,10.141.0.37,59.918317556381226,0,10,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",lstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['awakening']
caa7f_00005,0.9464733004570007,0.0,0.578125,0.2442244291305542,6.5887744426727295,True,,,11,8656300518064219b37adc06d7e08ec3,2021-10-08_20-28-49,1633714129,77.31313371658325,216650,crimv3srv047,10.141.0.37,77.31313371658325,0,11,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",lstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['awakening']
caa7f_00006,0.9433922171592712,0.0,0.578125,0.2442244291305542,6.8089447021484375,True,,,6,0ed9dae2a0cb4d4a877e25ffcbd564bb,2021-10-08_20-29-38,1633714178,44.03172469139099,234173,crimv3srv047,10.141.0.37,44.03172469139099,0,6,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",lstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['awakening']
caa7f_00007,0.9981110692024231,0.0,0.5768229365348816,0.24387557804584503,5.24658727645874,True,,,13,1ed28035561c42b5ab9ff5ddd96dda30,2021-10-08_20-30-56,1633714256,75.26053857803345,244227,crimv3srv047,10.141.0.37,75.26053857803345,0,13,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",lstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['awakening']
caa7f_00008,0.943017840385437,0.0,0.578125,0.2442244291305542,8.517374753952026,True,,,6,c79bd255227941bda727c1c5a74ae34d,2021-10-08_20-32-00,1633714320,59.68339490890503,263323,crimv3srv047,10.141.0.37,59.68339490890503,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",lstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['awakening']
caa7f_00009,1.4234840869903564,0.23777459561824799,0.5558035969734192,0.49187955260276794,8.88198208808899,True,,,8,b94b64d9a5ed4d338f1e2557a27296c0,2021-10-08_20-33-24,1633714404,79.59264492988586,274705,crimv3srv047,10.141.0.37,79.59264492988586,0,8,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",lstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['awakening']
