trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
6881a_00000,0.7552466988563538,0.4536767601966858,0.7544642686843872,0.47948920726776123,8.74949598312378,True,,,8,e62bd167d7424956baa5f4824cf013d2,2021-10-07_18-52-29,1633621949,70.07673764228821,324895,crimv3srv042,10.141.0.36,70.07673764228821,0,8,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.53435,dropout_input_layers=0.34052,hidden_dim=512,learning_rate=0.00124,monitor=loss,num_layers=2,opt_step_size=18,shared_output_size=16,weight_decay=0.0048511",lstm,0.0012399559702878178,64,True,2,512,loss,16,18,0.004851126085670284,0.3405204517163628,0.5343548456753321,['sleepEfficiency']
6881a_00001,0.5947086811065674,0.3253653645515442,0.7410714030265808,0.40655797719955444,6.2882373332977295,True,,,12,d5278d31c3c84f4a89d2882cfd58906f,2021-10-07_18-53-59,1633622039,86.18758511543274,324927,crimv3srv042,10.141.0.36,86.18758511543274,0,12,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.35113,dropout_input_layers=0.85471,hidden_dim=32,learning_rate=0.00014608,monitor=loss,num_layers=2,opt_step_size=2,shared_output_size=136,weight_decay=6.4232e-05",lstm,0.000146079355432327,128,False,2,32,loss,136,2,6.423232411285539e-05,0.8547054975648838,0.3511341561516311,['sleepEfficiency']
6881a_00002,1.1550894975662231,0.3841034770011902,0.7544642686843872,0.4472086727619171,12.224751949310303,True,,,30,484912c5c38344adae12408e334ba33a,2021-10-07_18-59-53,1633622393,350.09866189956665,324934,crimv3srv042,10.141.0.36,350.09866189956665,0,30,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.46845,dropout_input_layers=0.78701,hidden_dim=128,learning_rate=7.6647e-05,monitor=mcc,num_layers=2,opt_step_size=6,shared_output_size=192,weight_decay=1.0404e-05",lstm,7.664693579952828e-05,32,True,2,128,mcc,192,6,1.0404301721983175e-05,0.7870143785589305,0.4684504102203557,['sleepEfficiency']
6881a_00003,0.7601603269577026,0.35277169942855835,0.609375,0.40848061442375183,7.628047704696655,True,,,7,2168b7bae12b4187aa41fc43ae962453,2021-10-07_19-00-58,1633622458,61.20249390602112,324920,crimv3srv042,10.141.0.36,61.20249390602112,0,7,"3_batch_size=64,bidirectional=False,dropout_inner_layers=0.53464,dropout_input_layers=0.11392,hidden_dim=1024,learning_rate=0.023324,monitor=loss,num_layers=2,opt_step_size=13,shared_output_size=75,weight_decay=1.1549e-05",lstm,0.023324052965261046,64,False,2,1024,loss,75,13,1.1548632754714863e-05,0.11391621138685071,0.5346424063387488,['sleepEfficiency']
6881a_00004,0.7584173679351807,0.0,0.6919642686843872,0.27264732122421265,10.397172212600708,True,,,6,e858f5cded9a465da2c7171034558c09,2021-10-07_19-02-12,1633622532,70.66676092147827,324929,crimv3srv042,10.141.0.36,70.66676092147827,0,6,"4_batch_size=32,bidirectional=False,dropout_inner_layers=0.91054,dropout_input_layers=0.30635,hidden_dim=256,learning_rate=0.0028605,monitor=mcc,num_layers=2,opt_step_size=5,shared_output_size=143,weight_decay=2.8774e-05",lstm,0.0028605444101586362,32,False,2,256,mcc,143,5,2.8773945309758416e-05,0.3063529118957736,0.9105412637378719,['sleepEfficiency']
6881a_00005,0.588165819644928,0.0,0.6919642686843872,0.27264732122421265,11.547641515731812,True,,,100,89e74cf1d94f46b9a556cf2c5d623c4e,2021-10-07_19-21-31,1633623691,1154.971272468567,324935,crimv3srv042,10.141.0.36,1154.971272468567,0,100,"5_batch_size=32,bidirectional=False,dropout_inner_layers=0.6992,dropout_input_layers=0.2826,hidden_dim=256,learning_rate=4.9882e-06,monitor=loss,num_layers=2,opt_step_size=9,shared_output_size=116,weight_decay=0.0024629",lstm,4.988196581953384e-06,32,False,2,256,loss,116,9,0.0024629233864444577,0.2825976521941447,0.6992006269192133,['sleepEfficiency']
6881a_00006,1.164392352104187,0.38047200441360474,0.7444196343421936,0.47196483612060547,6.985275030136108,True,,,12,a53e8ddf7b1a448eaa31ad8faa75fc42,2021-10-07_19-23-00,1633623780,86.1354398727417,324912,crimv3srv042,10.141.0.36,86.1354398727417,0,12,"6_batch_size=128,bidirectional=True,dropout_inner_layers=0.37287,dropout_input_layers=0.9733,hidden_dim=128,learning_rate=0.00098866,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=213,weight_decay=0.0011791",lstm,0.000988656344608983,128,True,1,128,mcc,213,2,0.0011790708944909103,0.9732990272470359,0.37286971430221905,['sleepEfficiency']
6881a_00007,0.7695489525794983,0.0,0.6822916865348816,0.2703818380832672,6.21880578994751,True,,,9,650025bcff414399a819cdc67fcea1c6,2021-10-07_19-24-11,1633623851,66.3183045387268,324931,crimv3srv042,10.141.0.36,66.3183045387268,0,9,"7_batch_size=256,bidirectional=True,dropout_inner_layers=0.23604,dropout_input_layers=0.20465,hidden_dim=1024,learning_rate=0.072178,monitor=loss,num_layers=2,opt_step_size=9,shared_output_size=130,weight_decay=0.0056745",lstm,0.07217782503146941,256,True,2,1024,loss,130,9,0.005674493766451574,0.20465054406503647,0.23604293886495298,['sleepEfficiency']
6881a_00008,0.5929215550422668,0.0,0.6919642686843872,0.27264732122421265,7.186938285827637,True,,,48,802d3265b1a24a479957a27d791d1fa1,2021-10-07_19-30-52,1633624252,398.4618356227875,324899,crimv3srv042,10.141.0.36,398.4618356227875,0,48,"8_batch_size=64,bidirectional=False,dropout_inner_layers=0.77059,dropout_input_layers=0.03333,hidden_dim=128,learning_rate=2.3536e-05,monitor=loss,num_layers=1,opt_step_size=8,shared_output_size=5,weight_decay=0.00019604",lstm,2.3536386850232742e-05,64,False,1,128,loss,5,8,0.00019604337240827603,0.03333026326098465,0.7705855493826145,['sleepEfficiency']
6881a_00009,0.7543851733207703,0.0,0.6919642686843872,0.27264732122421265,10.60410213470459,True,,,7,54a7167e9b7d4677b22498dbd4d3c04e,2021-10-07_19-32-21,1633624341,85.4538745880127,324904,crimv3srv042,10.141.0.36,85.4538745880127,0,7,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.11679,dropout_input_layers=0.66643,hidden_dim=1024,learning_rate=0.093757,monitor=loss,num_layers=1,opt_step_size=13,shared_output_size=234,weight_decay=2.5059e-05",lstm,0.09375659767619285,32,False,1,1024,loss,234,13,2.5058599343868642e-05,0.6664321585611371,0.11678913810477964,['sleepEfficiency']
6881a_00010,0.9650447368621826,0.3913339376449585,0.7455357313156128,0.552266538143158,6.933839559555054,True,,,10,4e18c6cde52c4bd3ad2ee716c983981f,2021-10-07_19-33-36,1633624416,71.65204763412476,324915,crimv3srv042,10.141.0.36,71.65204763412476,0,10,"10_batch_size=128,bidirectional=False,dropout_inner_layers=0.45555,dropout_input_layers=0.82563,hidden_dim=1024,learning_rate=0.0011421,monitor=loss,num_layers=2,opt_step_size=11,shared_output_size=111,weight_decay=0.00041011",lstm,0.0011421007879189376,128,False,2,1024,loss,111,11,0.00041010606050581063,0.8256251077095057,0.45554980783555654,['sleepEfficiency']
