trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
107a9_00000,1.0952454805374146,0.0,0.390625,0.18726591765880585,6.815771579742432,True,,,100,c78e0899baf04d36a00c04fea3f82ab1,2021-10-10_01-59-40,1633820380,648.1024580001831,403044,crimv3srv047,10.141.0.37,648.1024580001831,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",lstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['totalSleepTime']
107a9_00001,1.1143174171447754,0.0,0.3046875,0.15568862855434418,5.067677021026611,True,,,6,34735efe79534ecfa0c21e8d3e675d9d,2021-10-10_02-00-23,1633820423,36.385343074798584,108672,crimv3srv047,10.141.0.37,36.385343074798584,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",lstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['totalSleepTime']
107a9_00002,1.109571099281311,0.0,0.3046875,0.15568862855434418,9.012141466140747,True,,,6,7d89ff51b4314dbe94599b5f8d9de5bb,2021-10-10_02-01-24,1633820484,58.44792151451111,116258,crimv3srv047,10.141.0.37,58.44792151451111,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",lstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['totalSleepTime']
107a9_00003,0.9446142315864563,0.4805006682872772,0.6484375,0.6562635898590088,9.492872714996338,True,,,9,72c18ed71ab7438497c7a517974f8638,2021-10-10_02-02-54,1633820574,86.77174639701843,126337,crimv3srv047,10.141.0.37,86.77174639701843,0,9,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",lstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['totalSleepTime']
107a9_00004,1.0951067209243774,0.0,0.390625,0.18726591765880585,5.1478025913238525,True,,,6,8c6965e8c81b4248b8db69aa2bd78c99,2021-10-10_02-03-35,1633820615,35.94182753562927,147725,crimv3srv047,10.141.0.37,35.94182753562927,0,6,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",lstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['totalSleepTime']
107a9_00005,1.0925849676132202,0.0,0.390625,0.18726591765880585,6.063112020492554,True,,,6,a5a6ff3df2554709916c376ae523cba6,2021-10-10_02-04-20,1633820660,42.89070463180542,159116,crimv3srv047,10.141.0.37,42.89070463180542,0,6,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",lstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['totalSleepTime']
107a9_00006,1.0109096765518188,0.32402151823043823,0.5368303656578064,0.41748252511024475,6.410498142242432,True,,,8,e87c45860f6d4226829ae567d048a13f,2021-10-10_02-05-20,1633820720,55.261398792266846,171601,crimv3srv047,10.141.0.37,55.261398792266846,0,8,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",lstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['totalSleepTime']
107a9_00007,1.0964699983596802,0.0,0.3815104067325592,0.18410304188728333,5.167887449264526,True,,,14,ecda4ff129f74ab882d480f620d50d5e,2021-10-10_02-06-40,1633820800,76.79290080070496,188027,crimv3srv047,10.141.0.37,76.79290080070496,0,14,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",lstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['totalSleepTime']
107a9_00008,1.10211181640625,0.0,0.390625,0.18726591765880585,9.141782999038696,True,,,6,4b12729b0fdb493192ee0f37b1c2a13d,2021-10-10_02-07-41,1633820861,58.26747536659241,209622,crimv3srv047,10.141.0.37,58.26747536659241,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",lstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['totalSleepTime']
107a9_00009,0.9773436188697815,0.5155206322669983,0.6763392686843872,0.6795361042022705,8.804465770721436,True,,,8,c3cc28093ecf4232b6226385df09698e,2021-10-10_02-09-03,1633820943,77.11646819114685,224585,crimv3srv047,10.141.0.37,77.11646819114685,0,8,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",lstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['totalSleepTime']
