trial_id,loss,mcc,acc,macroF1,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.structure,config.learning_rate,config.batch_size,config.bidirectional,config.num_layers,config.hidden_dim,config.monitor,config.shared_output_size,config.opt_step_size,config.weight_decay,config.dropout_input_layers,config.dropout_inner_layers,config.sleep_metrics
ae6a4_00000,1.1645387411117554,0.0,0.1953125,0.10893246531486511,6.4020836353302,True,,,100,e2e556f1db4b496bbfd6daf671b78386,2021-10-09_20-05-43,1633799143,621.9973909854889,155156,crimv3mgpu003,10.141.0.1,621.9973909854889,0,100,"0_batch_size=64,bidirectional=True,dropout_inner_layers=0.2481,dropout_input_layers=0.41851,hidden_dim=32,learning_rate=1.1269e-06,monitor=loss,num_layers=1,opt_step_size=2,shared_output_size=128,weight_decay=4.5256e-05",lstm,1.1268620922535336e-06,64,True,1,32,loss,128,2,4.5255985530599084e-05,0.41850818051045247,0.24810116841355911,['totalSleepTime']
ae6a4_00001,1.1330894231796265,0.0,0.1953125,0.10893246531486511,4.731050729751587,True,,,6,b8042dda345647f38320149854b7b5ec,2021-10-09_20-06-21,1633799181,33.156301498413086,142719,crimv3mgpu003,10.141.0.1,33.156301498413086,0,6,"1_batch_size=128,bidirectional=False,dropout_inner_layers=0.95096,dropout_input_layers=0.87856,hidden_dim=128,learning_rate=2.6321e-06,monitor=mcc,num_layers=1,opt_step_size=2,shared_output_size=93,weight_decay=3.1647e-05",lstm,2.6320749736273015e-06,128,False,1,128,mcc,93,2,3.1646744413349114e-05,0.878559085532659,0.9509640316267165,['totalSleepTime']
ae6a4_00002,1.173410177230835,0.0,0.1953125,0.10893246531486511,9.012810707092285,True,,,6,ec7e3c8e6c8040249272787cce592822,2021-10-09_20-07-23,1633799243,58.996397733688354,153272,crimv3mgpu003,10.141.0.1,58.996397733688354,0,6,"2_batch_size=32,bidirectional=True,dropout_inner_layers=0.54784,dropout_input_layers=0.6669,hidden_dim=256,learning_rate=1.5622e-06,monitor=mcc,num_layers=2,opt_step_size=11,shared_output_size=186,weight_decay=0.0049433",lstm,1.5622188693842582e-06,32,True,2,256,mcc,186,11,0.004943349933141232,0.6668989729196366,0.5478377830464816,['totalSleepTime']
ae6a4_00003,1.4792070388793945,0.2124190777540207,0.5182291865348816,0.4816392660140991,8.948467016220093,True,,,15,966e660483d64dc5a991aa6348263a17,2021-10-09_20-09-49,1633799389,141.62475848197937,167670,crimv3mgpu003,10.141.0.1,141.62475848197937,0,15,"3_batch_size=32,bidirectional=True,dropout_inner_layers=0.46567,dropout_input_layers=0.82487,hidden_dim=128,learning_rate=0.0032519,monitor=mcc,num_layers=1,opt_step_size=12,shared_output_size=229,weight_decay=0.0012115",lstm,0.0032518995380974173,32,True,1,128,mcc,229,12,0.0012114793986107313,0.8248704645005481,0.46566847536726585,['totalSleepTime']
ae6a4_00004,1.0465617179870605,0.0,0.44921875,0.20664869248867035,4.819957733154297,True,,,13,539180daa7514c839eb538df3afc50db,2021-10-09_20-11-01,1633799461,67.70529270172119,7155,crimv3mgpu003,10.141.0.1,67.70529270172119,0,13,"4_batch_size=128,bidirectional=False,dropout_inner_layers=0.52108,dropout_input_layers=0.16964,hidden_dim=64,learning_rate=0.050422,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=193,weight_decay=0.0089141",lstm,0.050422229829618456,128,False,1,64,loss,193,9,0.008914104985655112,0.1696362575837671,0.5210847114597973,['totalSleepTime']
ae6a4_00005,1.0461457967758179,0.0,0.44921875,0.20664869248867035,6.006855010986328,True,,,6,cfd4eb2dcf7849a5bf6725210919c7c1,2021-10-09_20-11-46,1633799506,41.67223238945007,30213,crimv3mgpu003,10.141.0.1,41.67223238945007,0,6,"5_batch_size=64,bidirectional=False,dropout_inner_layers=0.24312,dropout_input_layers=0.18554,hidden_dim=256,learning_rate=0.053406,monitor=loss,num_layers=2,opt_step_size=19,shared_output_size=184,weight_decay=0.0081759",lstm,0.053405635200435675,64,False,2,256,loss,184,19,0.008175946411773794,0.18554168693446071,0.2431156753134085,['totalSleepTime']
ae6a4_00006,1.0478515625,-0.029066607356071472,0.4479166567325592,0.20623500645160675,5.934938430786133,True,,,7,98474dcb9cad4559acb24f4780c9f127,2021-10-09_20-12-37,1633799557,47.096224784851074,43714,crimv3mgpu003,10.141.0.1,47.096224784851074,0,7,"6_batch_size=64,bidirectional=True,dropout_inner_layers=0.46353,dropout_input_layers=0.3469,hidden_dim=64,learning_rate=0.023281,monitor=loss,num_layers=1,opt_step_size=17,shared_output_size=186,weight_decay=0.0018829",lstm,0.023281138555331107,64,True,1,64,loss,186,17,0.001882929069794358,0.3469019537755197,0.46353471398405754,['totalSleepTime']
ae6a4_00007,1.0468485355377197,0.0,0.44921875,0.20664869248867035,4.4789814949035645,True,,,19,b7d4a03daba84ad383cf265b41e9eb70,2021-10-09_20-14-13,1633799653,92.78543782234192,57298,crimv3mgpu003,10.141.0.1,92.78543782234192,0,19,"7_batch_size=256,bidirectional=False,dropout_inner_layers=0.97872,dropout_input_layers=0.89892,hidden_dim=256,learning_rate=0.001129,monitor=loss,num_layers=1,opt_step_size=9,shared_output_size=134,weight_decay=2.6331e-05",lstm,0.0011289863841006823,256,False,1,256,loss,134,9,2.6331432971339587e-05,0.8989229937673232,0.978719518984546,['totalSleepTime']
ae6a4_00008,1.0517442226409912,0.0,0.44921875,0.20664869248867035,9.16234827041626,True,,,6,437c92290e2b4a86b8256579a8b3a485,2021-10-09_20-15-15,1633799715,58.67573046684265,87429,crimv3mgpu003,10.141.0.1,58.67573046684265,0,6,"8_batch_size=32,bidirectional=True,dropout_inner_layers=0.64712,dropout_input_layers=0.039455,hidden_dim=1024,learning_rate=0.044534,monitor=mcc,num_layers=2,opt_step_size=19,shared_output_size=201,weight_decay=0.0059649",lstm,0.04453377053069205,32,True,2,1024,mcc,201,19,0.0059648596830554935,0.03945481767426706,0.6471167135451114,['totalSleepTime']
ae6a4_00009,1.484400987625122,0.23693795502185822,0.5234375,0.5147656798362732,8.981234073638916,True,,,7,7bf8056908334c5a85d4be198da461b2,2021-10-09_20-16-28,1633799788,68.25158667564392,101807,crimv3mgpu003,10.141.0.1,68.25158667564392,0,7,"9_batch_size=32,bidirectional=False,dropout_inner_layers=0.23961,dropout_input_layers=0.67371,hidden_dim=512,learning_rate=0.0015498,monitor=loss,num_layers=2,opt_step_size=15,shared_output_size=100,weight_decay=0.00016227",lstm,0.0015497795417655797,32,False,2,512,loss,100,15,0.0001622747930594793,0.6737143186444894,0.2396081670712522,['totalSleepTime']
