ts,ENMO,MET_Sed,MET_MVPA,MET_VigPA,min_MVPA,min_VigPA,min_LPA,TST,WASO,AwaNo,SEff,w_length,s_length,dfa_ENMO_sleep,dfa_ENMO_wake,se_HR_sleep,se_HRV_wake,ENMO_SSA_per,mean_hr_SSA_per,ENMO_phisleep_delay,mean_hr_phisleep_delay,sleep_onset_t,sleep_offset_t,ENMO_SSA_phi_t,mean_hr_SSA_phi_t
2005-07-08,15972.61655836282,587.0,150.5251858,0.0,55.0,0.0,319.0,0 days 05:41:00.000000000,0.0,0.0,1.0,993,340,1.1137254714679883,1.3578779919942967,0.7227219509928529,1.3887301737228366,1689.0,1523.0,0 days 05:29:00.000000000,0 days 09:16:00.000000000,1 days 02:56:00.000000000,1 days 08:37:00.000000000,0 days 19:33:00.000000000,0 days 15:46:00.000000000
2005-07-09,17738.668182175534,761.0,155.1286922,0.0,49.0,0.0,151.0,0 days 07:27:00.000000000,0.0,0.0,1.0,1079,447,0.9991645767909938,1.2184959585212727,0.5091135638100549,1.1361221998295092,1250.0,1520.0,0 days 09:01:00.000000000,0 days 08:18:00.000000000,1 days 01:02:00.000000000,1 days 08:29:00.000000000,0 days 16:23:00.000000000,0 days 17:06:00.000000000
2005-07-10,26352.086394738348,421.0,530.0516709000001,45.028176,185.0,8.0,355.0,0 days 06:01:00.000000000,0.0,0.0,1.0,995,361,1.0538724931530965,1.2959851870254255,0.6999687109913802,1.1976670946040986,1237.0,1256.0,0 days 11:12:00.000000000,0 days 10:10:00.000000000,1 days 01:24:00.000000000,1 days 07:25:00.000000000,0 days 13:00:00.000000000,0 days 14:02:00.000000000
2005-07-11,5126.145180235676,833.0,13.807771299999999,0.0,6.0,0.0,122.0,0 days 07:25:00.000000000,0.0,0.0,1.0,1010,445,1.041165833192106,0.9455861227079706,0.730026168798699,1.5912302293440364,1613.0,1435.0,0 days 08:56:00.000000000,0 days 10:52:00.000000000,1 days 00:12:00.000000000,1 days 07:37:00.000000000,0 days 15:53:00.000000000,0 days 13:57:00.000000000
2005-07-12,17042.890592281365,688.0,213.14669360000002,51.36356920000001,64.0,9.0,209.0,0 days 07:10:00.000000000,0.0,0.0,1.0,1064,430,0.9868996747890572,1.1522764434894617,0.7359474150923061,1.2579015946478644,1475.0,1648.0,0 days 09:08:00.000000000,0 days 08:11:00.000000000,1 days 00:49:00.000000000,1 days 07:59:00.000000000,0 days 16:28:00.000000000,0 days 17:25:00.000000000
2005-07-13,4416.300445864626,286.0,31.5705166,0.0,14.0,0.0,135.0,0 days 06:16:00.000000000,0.0,0.0,1.0,67,376,1.0251167585293093,0.7856459384640246,0.6011314624557468,inf,1289.0,1249.0,,,1 days 01:36:00.000000000,1 days 07:52:00.000000000,0 days 13:57:00.000000000,0 days 14:14:00.000000000
2005-07-14,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-17,24773.03432332035,499.0,374.57898620000003,146.5619676,103.0,27.0,359.0,0 days 08:26:00.000000000,0.0,0.0,1.0,1037,505,1.043587005290071,1.1044373845506146,0.6204097654839769,1.235610821185628,1357.0,1610.0,0 days 12:59:00.000000000,0 days 08:34:00.000000000,1 days 02:11:00.000000000,1 days 10:37:00.000000000,0 days 14:00:00.000000000,0 days 18:25:00.000000000
2005-06-18,15692.117229770714,506.0,192.5236978,76.0172627,47.0,14.0,408.0,0 days 06:43:00.000000000,0.0,0.0,1.0,1050,403,0.9388364205115686,1.1210907508485422,0.8517829086537326,0.8449338370484917,1710.0,1400.0,0 days 05:20:00.000000000,0 days 06:05:00.000000000,1 days 02:59:00.000000000,1 days 09:42:00.000000000,0 days 18:30:00.000000000,0 days 17:45:00.000000000
2005-06-19,24787.954500373064,190.0,121.150347,0.0,48.0,0.0,723.0,0 days 06:30:00.000000000,0.0,0.0,1.0,997,390,1.0619690187253796,1.1050606634576414,0.6174907068248164,1.2837242518813254,1142.0,1154.0,0 days 09:29:00.000000000,0 days 10:02:00.000000000,0 days 23:50:00.000000000,1 days 06:20:00.000000000,0 days 13:32:00.000000000,0 days 12:59:00.000000000
2005-06-20,25666.752928781065,260.0,64.27344930000001,0.0,24.0,0.0,677.0,0 days 07:23:00.000000000,0.0,0.0,1.0,987,443,0.8977849091717465,1.0491466209749225,0.5827604143915092,0.6427596268850353,1465.0,1565.0,0 days 09:04:00.000000000,0 days 07:57:00.000000000,0 days 23:01:00.000000000,1 days 06:24:00.000000000,0 days 13:57:00.000000000,0 days 15:04:00.000000000
2005-06-21,25287.28309240572,330.0,73.2981202,0.0,29.0,0.0,602.0,0 days 07:33:00.000000000,0.0,0.0,1.0,1017,453,0.9066441221623154,1.0671444550154274,0.6019163282834931,1.2116408968600216,1607.0,1344.0,0 days 06:29:00.000000000,0 days 09:45:00.000000000,0 days 23:01:00.000000000,1 days 06:34:00.000000000,0 days 16:44:00.000000000,0 days 13:28:00.000000000
2005-06-22,27687.99531178195,276.0,136.594077,0.0,55.0,0.0,535.0,0 days 07:03:00.000000000,0.0,0.0,1.0,532,423,1.0922355725845436,1.1355474171374165,0.6095301793171356,inf,1346.0,1502.0,,,0 days 23:13:00.000000000,1 days 06:16:00.000000000,0 days 15:10:00.000000000,0 days 14:30:00.000000000
2005-06-23,,,,,,,,,,,,,,,,,,,,,,,,,
